,id,followers,genres,name,popularity
10170,2qFr8w5sWUITRlzZ9kZotF,1155547,"['acid rock', 'classic rock', 'folk rock', 'psychedelic rock', 'rock', 'roots rock']",Jefferson Airplane,66
10171,4hkeT9jX0lt23G9jz2ymoK,54,[],Abigail Moura,12
10172,5a2WF7juQ5oilpZCqikRtP,208925,"['filmi', 'tollywood']",Rahul Nambiar,53
10173,7kP4CqOE2bMXyrakOZLTPa,300,[],Den 10,45
10174,2QAX1NsHShxdn1PQZuhYc5,1466,[],Bill Henderson,16
10175,6fUT9R48PSFhSaa9rl996z,5202,"['german oi', 'german punk']",Springtoifel,21
10176,3pcfIpTAeW7gE231DLRiiY,16021,"['classic finnish pop', 'classic finnish rock', 'classic iskelma', 'iskelma', 'rautalanka', 'suomi rock']",Topi Sorsakoski & Agents,39
10177,4Nrd0CtP8txoQhnnlRA6V6,676944,"['chanson', 'francoton', 'french pop']",Vianney,68
10178,0uIr67iy3scCpUW19Xekuf,18525,[],Charly,39
10179,4tZwfgrHOc3mvqYlEYSvVi,7650304,"['electro', 'filter house']",Daft Punk,86
10180,2MEWgRS9kjwxFXxbFBTnPO,3798,['classic finnish pop'],Matti Nykänen,36
10181,1mRWeWG3g0pgHkTXshU7Cr,4442,"['bossa nova', 'bossa nova jazz', 'samba-jazz']",Sérgio Mendes Trio,25
10182,3sAHunotiQdUXKSsFj5KUg,19320,[],Mann,49
10183,51OKtNtm24ALAjAHBMiFng,11862,"['big beat', 'hardcore techno', 'techno', 'uk garage']",CJ Bolland,39
10184,4q3hVjQ64ODTveUdXsy2Jw,44490,['german viral rap'],Sääftig,60
10185,6U2korwDGUn6FgzDpcCJ8j,1969,['musica costarricense'],Guadalupe Urbina,16
10186,0yGLmAg3Q8H8yEqWr8TFNy,1954,"['classic icelandic pop', 'icelandic pop']",Skítamórall,32
10187,75enakuHPchiUJMNrudH5U,672,[],Johnny Dangerous,18
10188,3bCvHtuIXWXPbCMdSYudmZ,85417,"['adult standards', 'brill building pop', 'bubblegum pop', 'classic uk pop', 'merseybeat', 'rock-and-roll']",Cilla Black,46
10189,79pLmrGiSRT46nPDpEUt8U,689,['musica popular mineira'],Celso Adolfo,23
10190,6JFRI91YaCXREGQYzHSnUH,366255,"['italian hip hop', 'italian pop']",Jake La Furia,70
10191,6hfVCgKTJbLM6M18e2z7OI,13269,['italian disco'],Righeira,45
10192,0SU9RjvqV5LUxX6ZGEnuBW,220,['italian tenor'],Mario Filippeschi,13
10193,6DbJi8AcN5ANdtvJcwBSw8,637289,"['album rock', 'beatlesque', 'bubblegum pop', 'classic rock', 'folk rock', 'mellow gold', 'rock', 'rock drums', 'roots rock', 'soft rock']",Ringo Starr,55
10194,5Z3KfAPxgkltTbuKmRjazQ,1129,['vintage taiwan pop'],于櫻櫻,29
10195,6JPBUFrfF5w5whOPk2w0kp,4631,['p funk'],Brainstorm,36
10196,5eTFGhsuJJrmwAF2ttmgOl,22148,"['bossa nova', 'choro', 'deep brazilian pop', 'mpb', 'samba', 'velha guarda', 'violao']",Guinga,36
10197,6P7H3ai06vU1sGvdpBwDmE,1355319,"['album rock', 'art rock', 'classic rock', 'country rock', 'folk', 'folk rock', 'mellow gold', 'psychedelic rock', 'rock', 'roots rock', 'soft rock', 'yacht rock']",Steely Dan,72
10198,6yTYR09WCvsgdnurDW4WQo,505413,"['dance pop', 'edm', 'pop dance', 'pop rap']",DJ Antoine,67
10199,6w7nHPNj2BIGTEbRrefVyu,61311,['classic portuguese pop'],Tony Carreira,48
10200,1qiPLYO5rrmTOtxSnYeqZX,31841,['huayno'],Mac Salvador,47
10201,68EVUfmozd4eLN1OQeuHcz,12,[],Erich Bender,22
10202,5BvJzeQpmsdsFp4HGUYUEx,1711020,"['baroque pop', 'indie pop', 'indie rock', 'modern rock']",Vampire Weekend,73
10203,3kZW8LhFGcxLfPsERFwEBL,1846,[],Nelson Eddy,21
10204,7oF61eBQhjGDnvMi8chRWJ,92287,"['classic italian pop', 'italian adult pop']",Alex Baroni,42
10205,2s1Nx5RIa2TP945SGuoUPt,2145,['classic kollywood'],Thiruchi Loganathan,17
10206,7ncSeJV3xl2Q2HnWvllj4B,40164,['israeli rock'],Assaf Amdursky,41
10207,1iDIWeJHxy6KidPCpipUfO,16995,[],Natusha,41
10208,5Bc5dlMRPkNKNqu22Lh2z1,466,[],Jenny Galloway,34
10209,4Cx9NGQZyLE0FeuEKUQq56,28,[],Los Alegres Dominicanos,3
10210,4sPgmrussVU0xdhuNcjaEE,405,[],Pál Szécsi,23
10211,108F4FUt005SYU36QsuDdi,1,[],Jamiruddin Khan,0
10212,4aOdzq55jxQd2Oxdg7fNo2,827,"['mallet', 'marimba de guatemala']",Maderas Chapinas,31
10213,0my8yB6MM8YVbIR8A96GY3,312,"['barnalog', 'classic icelandic pop']",Örn Árnason,25
10214,2IJxOGPJDJzf6lLQqa84jl,11150,['australian pop'],Rick Price,48
10215,2hKALVwoWfBVYA8bcRBpcN,7023,"['finnish pop', 'iskelma', 'suomi rock']",Neon 2,34
10216,2C51Wbu4q389aUw2Vy8IA4,5023,"['progressive trance', 'progressive uplifting trance', 'uplifting trance']",Alan Morris,36
10217,5Qi4Bb7a8C0a00NZcA77L0,1761212,"['detroit hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'pop rap', 'rap', 'rap rock']",D12,68
10218,3If4HCMhVqWgOu0W6Bj81S,2,[],Hugo Meyer-Welfing,4
10219,4yvCOujgRMZQ3rOKxLfCTt,1178,[],Nagore E.M. Haniffa,22
10220,03oWHkoyY0FiH2IggqwhlW,17561,"['danspunk', 'melbourne bounce international', 'russelater']",BEK & Wallin,55
10221,0bihy7QrlMdQPop1cuFDsi,825,[],Jay Jay Johnson,11
10222,5LbgJGRCmR9pgCxVkBDZw6,30705,"['classic azeri pop', 'classic turkish pop', 'turkish psych']",Esmeray,43
10223,1bBZcz4jP7CoPlqpCFh4gz,135433,"['country', 'cowboy western', 'rock-and-roll', 'rockabilly']",Johnny Horton,53
